-11309,832,1.204000
-11295,423,1.235000
-11182,2073,1.101000
-11238,372,1.264000
-10797,1507,1.168000
-10767,446,1.260000
-10466,-43,1.308000
-10007,-179,1.304000
-9514,-267,1.288000
-9403,-457,1.306000
-8628,-1012,1.337000
-8488,-796,1.295000
-8026,-1448,1.348000
-7639,-1571,1.349000
-7119,-1831,1.375000
-6816,-1893,1.377000
-6179,-2340,1.412000
-6006,-2303,1.399000
-5471,-2502,1.404000
-4920,-2567,1.377000
-4771,-2522,1.374000
-4039,-2987,1.440000
-3790,-2971,1.422000
-3369,-3075,1.402000
-3092,-3075,1.403000
-2307,-3294,1.437000
-1821,-3399,1.401000
-1186,-3427,1.428000
-942,-3503,1.416000
-267,-3447,1.442000
109,-3456,1.475000
491,-3505,1.454000
1321,-3580,1.516000
1593,-3608,1.516000
2113,-3757,1.499000
2908,-3642,1.546000
2908,-3642,1.546000
2908,-3642,1.546000
3621,-3537,1.511000
4202,-3484,1.521000
4763,-3310,1.596000
