0,0,0
0,0,0
-8,8,-8
-12,11,-13
-30,31,-32
-12,14,-12
-28,31,-28
-13,12,-13
-31,28,-32
0,0,-1
-7,8,-10
0,0,0
-5,5,-6
-25,24,-25
-13,13,-13
-40,42,-41
0,0,0
-8,8,-10
-27,29,-31
-12,13,-13
-13,13,-13
-38,37,-36
0,0,0
-7,9,-9
-29,34,-38
-13,13,-13
-12,13,-13
-32,32,-33
-13,12,-13
-14,13,-12
-13,12,-13
-33,33,-34
-13,13,-12
-41,41,-40
-32,32,-34
-27,25,-27
-10,10,-11
-11,12,-12
0,0,0
-7,8,-9
-10,11,-12
-29,29,-31
-12,13,-13
-38,39,-40
-1,1,-2
-8,9,-10
-12,12,-14
-30,31,-33
-14,14,-12
-39,40,-39
-29,28,-31
-13,13,-11
-31,30,-29
-12,13,-14
-13,13,-12
-30,30,-27
-12,13,-13
-13,12,-13
-35,33,-35
-13,14,-12
-39,40,-39
-12,13,-13
-13,12,-12
-35,34,-32
-13,13,-14
-12,12,-12
-32,31,-29
-13,13,-13
0,0,0
-6,7,-9
-32,34,-35
-34,36,-38
-27,27,-27
-9,10,-12
-11,13,-12
-13,13,-13
-8,8,-11
-6,6,-8
-10,10,-11
-9,10,-11
-29,29,-32
-27,29,-28
-30,31,-31
-14,14,-12
0,0,0
0,0,-2
-20,19,-23
-26,27,-31
-13,13,-13
-3,4,-4
-4,5,-6
-1,1,-2
-22,22,-25
-12,13,-13
-13,13,-15
0,0,0
0,1,-1
-15,19,-22
0,0,0
0,0,0
-9,7,-10
0,0,0
0,0,0
-8,8,-9
-1,1,-1
-19,21,-24
-30,32,-35
-33,36,-35
-26,25,-29
-24,27,-31
-11,11,-11
-27,27,-32
0,0,0
0,0,0
-9,10,-10
-8,9,-11
-10,11,-12
-31,31,-34
-13,14,-13
-12,12,-12
0,0,0
-2,2,-2
-8,10,-11
-26,29,-33
-13,13,-12
-34,36,-32
-41,45,-42
-57,60,-57
-29,28,-28
-11,13,-13
-33,37,-37
-14,12,-12
-13,14,-12
0,0,0
-2,1,-2
-9,10,-10
-29,30,-32
-14,12,-13
-12,13,-11
-26,29,-28
-13,13,-13
-35,36,-37
-12,11,-12
