-11649,-1477,1.140000
-11644,-1922,1.180000
-11776,-1390,1.155000
-11482,-2611,1.257000
-11545,-1821,1.202000
-10805,-3248,1.316000
-10275,-3265,1.299000
-10511,-2809,1.235000
-10054,-3295,1.264000
-9592,-3507,1.276000
-9094,-3971,1.315000
-8748,-3938,1.278000
-8130,-4382,1.320000
-7787,-4301,1.284000
-7683,-4069,1.249000
-7097,-4941,1.348000
-6486,-4860,1.326000
-6064,-5092,1.328000
-5733,-5310,1.347000
-5209,-5502,1.362000
-4931,-5612,1.369000
-4818,-5482,1.337000
-4344,-5685,1.345000
-3865,-5896,1.395000
-3155,-5979,1.420000
-2650,-6019,1.408000
-2009,-6119,1.431000
-1298,-6258,1.437000
-1091,-6412,1.431000
-409,-6490,1.457000
221,-6563,1.472000
221,-6563,1.472000
221,-6563,1.472000
1970,-6620,1.516000
2363,-6832,1.461000
2878,-6827,1.499000
3414,-6611,1.549000
3590,-6659,1.561000
3761,-6672,1.566000
4003,-6737,1.549000
