-731,-4476,1.287000
-693,-4455,1.287000
-773,-4543,1.277000
-424,-4319,1.586000
293,-3780,2.275000
241,-3301,2.591000
-153,-2391,-2.970000
-520,-2027,-2.631000
-1514,-1897,-1.948000
-2278,-3005,-0.676000
-2228,-4066,0.111000
-2276,-4001,0.090000
-2320,-4021,0.082000
-2005,-4161,0.295000
-1681,-4597,0.592000
12,-3422,2.525000
36,-3427,2.521000
112,-3447,2.533000
79,-3043,2.884000
-23,-2620,-3.104000
-898,-2015,-2.434000
-1851,-2077,-1.708000
-2426,-3290,-0.480000
-2335,-3283,-0.467000
-2270,-3759,-0.149000
-1692,-4464,0.507000
-1068,-4740,0.895000
-357,-4461,1.581000
141,-3828,2.284000
16,-2994,2.960000
-221,-2646,-2.945000
-1222,-1941,-2.291000
-1562,-2115,-1.896000
-2378,-2513,-1.238000
-2525,-3252,-0.531000
-2252,-4165,0.147000
-1706,-4616,0.521000
139,-3888,2.285000
238,-3905,2.312000
89,-3791,2.328000
238,-3569,2.579000
192,-2791,-3.098000
-305,-2299,-2.781000
-2493,-2968,-0.837000
-2402,-2981,-0.811000
-2569,-2967,-0.836000
-2463,-3497,-0.426000
-2148,-4351,0.214000
-1703,-4662,0.582000
-728,-4748,1.306000
184,-4189,2.073000
258,-3801,2.388000
147,-2985,3.114000
-290,-2533,-2.819000
-1259,-2206,-2.142000
-2070,-2505,-1.465000
-2415,-3303,-0.746000
-2434,-3731,-0.396000
-1983,-4495,0.298000
-1495,-4813,0.646000
-422,-4964,1.409000
161,-4265,2.117000
155,-3930,2.430000
-19,-3031,3.080000
-488,-2533,-2.856000
-1499,-2137,-2.138000
-2220,-2590,-1.432000
-2143,-4541,0.258000
-2162,-4520,0.247000
-1945,-4640,0.361000
-1826,-4862,0.553000
-888,-4955,1.176000
-142,-4531,1.886000
126,-3886,2.496000
-59,-3502,2.754000
-873,-2382,-2.545000
-1677,-2309,-1.851000
-2219,-2552,-1.410000
-2415,-3042,-0.950000
-2432,-3398,-0.632000
-2473,-4071,-0.068000
-1773,-4697,0.553000
-859,-4948,1.245000
-328,-4744,1.612000
-611,-2496,-2.785000
-583,-2528,-2.776000
-656,-2533,-2.743000
-1248,-2213,-2.261000
-2227,-2247,-1.608000
-2529,-3383,-0.539000
-2406,-3700,-0.365000
-2113,-4478,0.349000
-2031,-4629,0.417000
-1371,-4853,0.929000
-512,-4632,1.619000
-181,-3251,2.901000
-127,-3267,2.914000
-75,-3140,2.973000
-1823,-2065,-1.931000
-1816,-2090,-1.932000
-1735,-2131,-1.912000
-2654,-3578,-0.351000
-2380,-3769,-0.279000
-2562,-3879,-0.215000
-1846,-4685,0.561000
-1553,-4922,0.646000
-1115,-4924,1.079000
-364,-4528,1.788000
-259,-3929,2.327000
-19,-3162,2.995000
-672,-2498,-2.796000
-1390,-2201,-2.160000
-2518,-3244,-0.725000
-2468,-3264,-0.718000
-2492,-3369,-0.605000
-2635,-3951,-0.134000
-2568,-4210,0.090000
-1420,-4920,0.776000
-834,-4730,1.411000
-452,-4619,1.789000
-924,-2417,-2.659000
-1021,-2344,-2.698000
-963,-2345,-2.593000
-1762,-2030,-2.242000
-2081,-2061,-1.878000
-2605,-2805,-1.107000
-2605,-2805,-1.107000
-2605,-2805,-1.107000
-1665,-4906,0.665000
-1256,-4907,0.989000
-679,-4561,1.660000
-188,-3894,2.370000
-94,-3423,2.756000
-2204,-2269,-1.766000
-2214,-2174,-1.771000
-2320,-2222,-1.775000
-2548,-2636,-1.258000
-2836,-2909,-0.971000
-2821,-3841,-0.235000
-2069,-4630,0.481000
-1535,-4943,0.856000
-727,-4721,1.532000
-276,-3973,2.224000
-219,-3631,2.590000
-592,-2699,-3.031000
-1559,-2230,-2.305000
-2369,-2354,-1.665000
-2771,-3076,-0.944000
-2973,-3327,-0.617000
-2692,-4276,0.102000
-1220,-4821,1.256000
-1061,-4917,1.301000
-467,-4605,1.686000
-170,-3434,2.773000
-139,-3482,2.845000
-457,-2789,-3.054000
-2578,-2381,-1.486000
-2578,-2491,-1.412000
-2723,-2436,-1.376000
-2754,-2661,-1.192000
-2791,-3547,-0.512000
-2878,-3923,-0.188000
-2138,-4719,0.522000
-1570,-4973,0.880000
-532,-4723,1.613000
-165,-4056,2.305000
-217,-3595,2.628000
-652,-2689,-2.981000
-1124,-2324,-2.623000
-2114,-2083,-1.974000
-2760,-2657,-1.266000
-2843,-3073,-0.869000
-2764,-4080,-0.138000
-2136,-4816,0.562000
-1603,-4927,0.909000
-671,-4712,1.610000
-317,-4379,2.002000
-293,-3605,2.669000
-839,-2569,-2.967000
-1204,-2351,-2.581000
-2179,-2216,-1.914000
-2489,-2460,-1.549000
-2894,-3250,-0.846000
-2672,-4154,-0.112000
-2113,-4852,0.547000
-1534,-4981,0.926000
-807,-4756,1.636000
-420,-4416,2.010000
-458,-3670,2.630000
-469,-3239,2.997000
-1229,-2415,-2.598000
-1636,-2362,-2.211000
-2666,-2449,-1.600000
-2863,-3307,-0.843000
-2760,-4196,-0.129000
-2386,-4603,0.237000
-1532,-5085,0.921000
-427,-4443,2.091000
-369,-4456,2.108000
-261,-4004,2.452000
-490,-3163,3.065000
-1670,-2349,-2.269000
-1982,-2389,-2.068000
-2333,-2333,-1.824000
-2895,-2869,-1.187000
-2940,-3802,-0.416000
-2790,-4234,-0.073000
-1751,-5083,0.686000
-1719,-4926,0.937000
-662,-4780,1.691000
-304,-4485,2.081000
-223,-3589,2.764000
-843,-2691,-2.911000
-1602,-2478,-2.258000
-1602,-2478,-2.258000
-1602,-2478,-2.258000
-2669,-3243,-0.962000
-2897,-3404,-0.625000
-2381,-4375,0.119000
-1692,-5071,0.791000
-1225,-5055,1.130000
-747,-4938,1.513000
-747,-4938,1.513000
-367,-3447,2.882000
-950,-2613,-2.710000
-1540,-2417,-2.356000
-2447,-2416,-1.723000
-2717,-3221,-0.953000
-2789,-4196,-0.252000
-2757,-4367,-0.038000
-1848,-5017,0.545000
-1573,-5154,0.856000
