478.601349,-65.970367,-0.048835
910.162598,-137.734055,-0.146342
-453.918976,30.323036,0.142929
-2825.586182,317.096069,0.688160
-5886.486816,761.195374,0.640591
-8823.661133,1493.375366,0.304115
-11016.592773,2354.263184,-0.302025
-12317.683594,3004.683350,-0.797900
-12504.723633,3190.948730,-0.537141
-12523.897461,3335.693604,0.341910
-12304.758789,3417.508789,0.991790
-12002.027344,3877.801758,1.004039
-11954.291016,4121.333008,0.533435
-12187.988281,3815.210693,0.365370
-12388.156250,3535.972656,0.687107
-12363.317383,3098.239502,0.714294
-12193.131836,3096.148438,0.787041
-12188.427734,3218.853760,0.346738
-12332.036133,3525.707520,0.132800
-12571.705078,3678.394531,0.410249
-12577.004883,3393.513672,0.402214
-12325.509766,3533.613525,0.434875
-12196.048828,3711.174072,-0.035167
-12340.655273,3632.817627,-0.232971
-12644.615234,3319.598389,0.090054
-12732.275391,2973.843262,0.085600
-12546.471680,2870.750977,0.128915
-12347.579102,3179.292969,-0.350506
-12295.742188,3799.245850,-0.612003
-12510.774414,3946.618896,-0.343153
